year,month,species,sciname,length_cm,frequency
2016,12,CRAPO10,Charybdis sp.,20,1
2016,12,CRAPO38,Portunus sanguinolentus,4.9,1
2016,12,CRAPO38,Portunus sanguinolentus,5,2
2016,12,CRAPO38,Portunus sanguinolentus,5.2,4
2016,12,CRAPO38,Portunus sanguinolentus,5.3,1
2016,12,CRAPO38,Portunus sanguinolentus,6,10
2016,12,CRAPO38,Portunus sanguinolentus,6.2,1
2016,12,CRAPO38,Portunus sanguinolentus,6.6,1
2016,12,CRAPO38,Portunus sanguinolentus,7,2
2016,12,CRAPO38,Portunus sanguinolentus,12,1
2016,12,CRAPO38,Portunus sanguinolentus,14,2
2016,12,CRAPO38,Portunus sanguinolentus,15,1
2016,12,CRAPO38,Portunus sanguinolentus,19,1
2016,12,CRAPO38,Portunus sanguinolentus,21,2
2016,12,CRAPO38,Portunus sanguinolentus,130,1
2016,12,CRAPO3B,Portunus pelagicus,16,1
2016,12,CRUSQ10,Squilla sp.,1,3
2016,12,CRUSQ10,Squilla sp.,4,2
2016,12,CRUSQ10,Squilla sp.,5,2
2016,12,CRUSQ10,Squilla sp.,6,2
2016,12,CRUSQ10,Squilla sp.,7,3
2016,12,CRUSQ10,Squilla sp.,8,1
2016,12,CRUSQ10,Squilla sp.,9,5
2016,12,CRUSQ10,Squilla sp.,10,1
2016,12,CRUSQ10,Squilla sp.,12,1
2016,12,CYGCY00,Cynoglossus sp.,17,2
2016,12,CYGCY00,Cynoglossus sp.,26,2
2016,12,CYGCY00,Cynoglossus sp.,27,2
2016,12,CYGCY11,Cynoglossus capensis,17,1
2016,12,CYGCY11,Cynoglossus capensis,29,1
2016,12,CYGCY26,Cynoglossus lingua,8,5
2016,12,CYGCY26,Cynoglossus lingua,10,2
2016,12,CYGCY26,Cynoglossus lingua,11,2
2016,12,CYGCY26,Cynoglossus lingua,12,4
2016,12,CYGCY26,Cynoglossus lingua,13,6
2016,12,CYGCY26,Cynoglossus lingua,14,17
2016,12,CYGCY26,Cynoglossus lingua,15,21
2016,12,CYGCY26,Cynoglossus lingua,16,14
2016,12,CYGCY26,Cynoglossus lingua,17,27
2016,12,CYGCY26,Cynoglossus lingua,18,18
2016,12,CYGCY26,Cynoglossus lingua,19,7
2016,12,CYGCY26,Cynoglossus lingua,20,13
2016,12,CYGCY26,Cynoglossus lingua,21,10
2016,12,CYGCY26,Cynoglossus lingua,22,11
2016,12,CYGCY26,Cynoglossus lingua,23,8
2016,12,CYGCY26,Cynoglossus lingua,24,12
2016,12,CYGCY26,Cynoglossus lingua,25,9
2016,12,CYGCY26,Cynoglossus lingua,26,29
2016,12,CYGCY26,Cynoglossus lingua,27,11
2016,12,CYGCY26,Cynoglossus lingua,28,9
2016,12,CYGCY26,Cynoglossus lingua,29,5
2016,12,CYGCY26,Cynoglossus lingua,30,3
2016,12,CYGCY26,Cynoglossus lingua,33,1
2016,12,CYGCY26,Cynoglossus lingua,34,1
2016,12,DIOCY00,Cyclichthys sp.,13,1
2016,12,DREDR02,Drepane punctata,3,1
2016,12,DREDR03,Drepane longimana,11,2
2016,12,DREDR03,Drepane longimana,12,4
2016,12,DREDR03,Drepane longimana,13,12
2016,12,DREDR03,Drepane longimana,14,10
2016,12,DREDR03,Drepane longimana,15,15
2016,12,DREDR03,Drepane longimana,16,3
2016,12,DREDR03,Drepane longimana,17,2
2016,12,FISFI00,Fistularia sp.,18,1
2016,12,FISFI00,Fistularia sp.,21,1
2016,12,FISFI00,Fistularia sp.,24,1
2016,12,FISFI00,Fistularia sp.,27,2
2016,12,FISFI00,Fistularia sp.,38,1
2016,12,FISFI00,Fistularia sp.,41,1
2016,12,FISFI02,Fistularia commersonii,5,1
2016,12,FISFI02,Fistularia commersonii,6,1
2016,12,FISFI02,Fistularia commersonii,7,1
2016,12,FISFI02,Fistularia commersonii,14,2
2016,12,FISFI02,Fistularia commersonii,26,2
2016,12,FISFI02,Fistularia commersonii,30,2
2016,12,FISFI02,Fistularia commersonii,32,2
2016,12,FISFI02,Fistularia commersonii,33,1
2016,12,FISFI02,Fistularia commersonii,34,1
2016,12,FISFI02,Fistularia commersonii,35,1
2016,12,FISFI02,Fistularia commersonii,36,1
2016,12,FISFI02,Fistularia commersonii,37,1
2016,12,FISFI02,Fistularia commersonii,38,1
2016,12,FISFI02,Fistularia commersonii,41,3
2016,12,FISFI02,Fistularia commersonii,42,1
2016,12,GERAA00,GERREIDAE,16,1
2016,12,GERGE09,Gerres infasciatus,13,1
2016,12,GERPE00,Pentaprion sp.,8,8
2016,12,GERPE00,Pentaprion sp.,9,5
2016,12,GERPE00,Pentaprion sp.,10,12
2016,12,GERPE00,Pentaprion sp.,11,2
2016,12,GERPE01,Pentaprion longimanus,7,1
2016,12,GERPE01,Pentaprion longimanus,8,14
2016,12,GERPE01,Pentaprion longimanus,9,7
2016,12,GERPE01,Pentaprion longimanus,10,17
2016,12,GERPE01,Pentaprion longimanus,11,13
2016,12,LACLA01,Lactarius lactarius,13,1
2016,12,LEIAA00,LEIOGNATHIDAE,8,8
2016,12,LEIAA00,LEIOGNATHIDAE,9,2
2016,12,LEIAA00,LEIOGNATHIDAE,10,2
2016,12,LEIGA01,Gazza minuta,6,2
2016,12,LEIGA01,Gazza minuta,7,24
2016,12,LEIGA01,Gazza minuta,8,14
2016,12,LEIGA01,Gazza minuta,9,16
2016,12,LEIGA01,Gazza minuta,10,10
2016,12,LEIGA01,Gazza minuta,13,1
2016,12,LEILE00,Leiognathus sp.,8,1
2016,12,LEILE00,Leiognathus sp.,9,1
2016,12,LEILE09,Leiognathus brevirostris,2,18
2016,12,LEILE09,Leiognathus brevirostris,3,81
2016,12,LEILE09,Leiognathus brevirostris,4,102
2016,12,LEILE09,Leiognathus brevirostris,5,243
2016,12,LEILE09,Leiognathus brevirostris,6,213
2016,12,LEILE09,Leiognathus brevirostris,7,287
2016,12,LEILE09,Leiognathus brevirostris,8,120
2016,12,LEILE09,Leiognathus brevirostris,9,78
2016,12,LEILE09,Leiognathus brevirostris,10,30
2016,12,LEILE09,Leiognathus brevirostris,11,10
2016,12,LEISE00,Secutor sp.,5,5
2016,12,LEISE00,Secutor sp.,6,5
2016,12,LEISE00,Secutor sp.,7,1
2016,12,LEISE00,Secutor sp.,8,1
2016,12,LEISE00,Secutor sp.,23,3
2016,12,LEISE00,Secutor sp.,24,1
2016,12,LEISE00,Secutor sp.,25,2
2016,12,LEISE00,Secutor sp.,26,1
2016,12,LEISE00,Secutor sp.,29,3
2016,12,LEISE00,Secutor sp.,31,2
2016,12,LEISE00,Secutor sp.,33,3
2016,12,MENME01,Mene maculata,6,1
2016,12,MONAL02,Aluterus monoceros,48,2
2016,12,MONAL02,Aluterus monoceros,49,1
2016,12,MULUP05,Upeneus sulphureus,8,3
2016,12,MULUP05,Upeneus sulphureus,9,20
2016,12,MULUP05,Upeneus sulphureus,10,94
2016,12,MULUP05,Upeneus sulphureus,11,94
2016,12,MULUP05,Upeneus sulphureus,12,21
2016,12,MULUP05,Upeneus sulphureus,13,6
2016,12,MULUP05,Upeneus sulphureus,14,8
2016,12,MULUP05,Upeneus sulphureus,15,2
2016,12,MURGY00,Gymnothorax sp.,33,1
2016,12,MURGY00,Gymnothorax sp.,34,1
2016,12,NEMNE03,Nemipterus japonicus,7,2
2016,12,NEMNE03,Nemipterus japonicus,8,3
2016,12,NEMNE03,Nemipterus japonicus,9,4
2016,12,NEMNE03,Nemipterus japonicus,10,2
2016,12,NEMNE03,Nemipterus japonicus,11,3
2016,12,NEMNE03,Nemipterus japonicus,13,3
2016,12,NEMNE03,Nemipterus japonicus,14,18
2016,12,NEMNE03,Nemipterus japonicus,15,7
2016,12,NEMNE03,Nemipterus japonicus,16,16
2016,12,NEMNE03,Nemipterus japonicus,17,6
2016,12,NEMNE03,Nemipterus japonicus,18,5
2016,12,NEMNE03,Nemipterus japonicus,19,8
2016,12,NEMNE03,Nemipterus japonicus,20,13
2016,12,NEMNE03,Nemipterus japonicus,21,7
2016,12,NEMNE03,Nemipterus japonicus,22,6
2016,12,NEMNE03,Nemipterus japonicus,23,5
2016,12,PLAPL01,Platycephalus indicus,4,1
2016,12,PLAPL01,Platycephalus indicus,5,1
2016,12,PLAPL01,Platycephalus indicus,7,2
2016,12,PLAPL01,Platycephalus indicus,9,1
2016,12,PLAPL01,Platycephalus indicus,10,1
2016,12,PLAPL01,Platycephalus indicus,11,8
2016,12,PLAPL01,Platycephalus indicus,12,16
2016,12,PLAPL01,Platycephalus indicus,13,26
2016,12,PLAPL01,Platycephalus indicus,14,28
2016,12,PLAPL01,Platycephalus indicus,15,11
2016,12,PLAPL01,Platycephalus indicus,16,5
2016,12,PLAPL01,Platycephalus indicus,17,20
2016,12,PLAPL01,Platycephalus indicus,18,10
2016,12,PLAPL01,Platycephalus indicus,19,1
2016,12,PLAPL01,Platycephalus indicus,20,10
2016,12,PLAPL01,Platycephalus indicus,21,3
2016,12,PODPO05,Pomadasys multimaculatus,23,2
2016,12,PODPO05,Pomadasys multimaculatus,24,1
2016,12,PODPO05,Pomadasys multimaculatus,25,1
2016,12,PODPO05,Pomadasys multimaculatus,31,1
2016,12,PODPO06,Pomadasys maculatus,13,1
2016,12,PODPO06,Pomadasys maculatus,14,2
2016,12,PRIPR00,Priacanthus sp.,9,1
2016,12,PRIPR00,Priacanthus sp.,18,1
2016,12,PRIPR03,Priacanthus hamrur,7,2
2016,12,PRIPR03,Priacanthus hamrur,8,7
2016,12,PRIPR03,Priacanthus hamrur,9,2
2016,12,PRIPR03,Priacanthus hamrur,10,2
2016,12,PRIPR03,Priacanthus hamrur,17,2
2016,12,PRIPR03,Priacanthus hamrur,18,1
2016,12,PRIPR08,Priacanthus sagittarius,17,1
2016,12,PRIPR08,Priacanthus sagittarius,18,1
2016,12,PRSIL05,Ilisha filigera,11,2
2016,12,PRSIL05,Ilisha filigera,12,13
2016,12,PRSIL05,Ilisha filigera,13,17
2016,12,PRSIL05,Ilisha filigera,14,6
2016,12,PRSIL05,Ilisha filigera,15,2
2016,12,PRSIL05,Ilisha filigera,16,2
2016,12,PSEPS02,Psettodes erumei,7,5
2016,12,PSEPS02,Psettodes erumei,8,4
2016,12,PSEPS02,Psettodes erumei,9,4
2016,12,PSEPS02,Psettodes erumei,10,17
2016,12,PSEPS02,Psettodes erumei,11,54
2016,12,PSEPS02,Psettodes erumei,12,60
2016,12,PSEPS02,Psettodes erumei,13,11
2016,12,PSEPS02,Psettodes erumei,14,14
2016,12,PSEPS02,Psettodes erumei,16,4
2016,12,PSEPS02,Psettodes erumei,17,9
2016,12,PSEPS02,Psettodes erumei,18,18
2016,12,PSEPS02,Psettodes erumei,19,2
2016,12,PSEPS02,Psettodes erumei,20,4
2016,12,PSEPS02,Psettodes erumei,22,1
2016,12,RAYDA24,Brevitrygon walga,6,1
2016,12,RAYDA24,Brevitrygon walga,7,4
2016,12,RAYDA24,Brevitrygon walga,8,5
2016,12,RAYDA24,Brevitrygon walga,15,1
2016,12,RAYDA24,Brevitrygon walga,18,2
2016,12,RAYDA24,Brevitrygon walga,19,2
2016,12,RAYDA24,Brevitrygon walga,20,3
2016,12,RAYDA24,Brevitrygon walga,21,2
2016,12,RAYDA25,Pateobatis uarnacoides,19,1
2016,12,RAYDA93,Brevitrygon imbricata,7,1
2016,12,RAYDA93,Brevitrygon imbricata,18,2
2016,12,RAYDA93,Brevitrygon imbricata,22,1
2016,12,SCIJO00,Johnius sp.,11,2
2016,12,SCIJO00,Johnius sp.,12,1
2016,12,SCIJO00,Johnius sp.,14,1
2016,12,SCIJO00,Johnius sp.,15,1
2016,12,SCIJO00,Johnius sp.,16,2
2016,12,SCIJO00,Johnius sp.,17,1
2016,12,SCIJO00,Johnius sp.,18,1
2016,12,SCIJO00,Johnius sp.,19,1
2016,12,SCIJO01,Johnius belangerii,17,1
2016,12,SCIJO01,Johnius belangerii,20,1
2016,12,SCIOT02,Otolithes cuvieri,9,2
2016,12,SCIOT02,Otolithes cuvieri,10,43
2016,12,SCIOT02,Otolithes cuvieri,11,57
2016,12,SCIOT02,Otolithes cuvieri,12,48
2016,12,SCIOT02,Otolithes cuvieri,13,33
2016,12,SCIOT02,Otolithes cuvieri,14,18
2016,12,SCIOT02,Otolithes cuvieri,15,26
2016,12,SCIOT02,Otolithes cuvieri,16,19
2016,12,SCIOT02,Otolithes cuvieri,17,13
2016,12,SCIOT02,Otolithes cuvieri,18,22
2016,12,SCIOT02,Otolithes cuvieri,19,32
2016,12,SCIOT02,Otolithes cuvieri,20,17
2016,12,SCIOT02,Otolithes cuvieri,21,7
2016,12,SCIOT02,Otolithes cuvieri,22,3
2016,12,SCIPR01,Protonibea diacanthus,9,2
2016,12,SCIPR01,Protonibea diacanthus,10,1
2016,12,SCIPR01,Protonibea diacanthus,11,17
2016,12,SCIPR01,Protonibea diacanthus,12,7
2016,12,SCIPR01,Protonibea diacanthus,13,12
2016,12,SCIPR01,Protonibea diacanthus,14,8
2016,12,SCIPR01,Protonibea diacanthus,15,3
2016,12,SCIPR01,Protonibea diacanthus,16,3
2016,12,SCIPR01,Protonibea diacanthus,17,1
2016,12,SCIPR01,Protonibea diacanthus,18,1
2016,12,SCIPR01,Protonibea diacanthus,19,4
2016,12,SCIPR01,Protonibea diacanthus,20,3
2016,12,SCIPR01,Protonibea diacanthus,21,1
2016,12,SCIPR01,Protonibea diacanthus,24,1
2016,12,SCIPR01,Protonibea diacanthus,27,1
2016,12,SCMRA01,Rastrelliger kanagurta,20,1
2016,12,SCMSM04,Scomberomorus guttatus,39,1
2016,12,SCMSM04,Scomberomorus guttatus,42,1
2016,12,SCRPT03,Pterois russelii,8,1
2016,12,SCRPT03,Pterois russelii,9,5
2016,12,SCRPT03,Pterois russelii,10,4
2016,12,SCRPT03,Pterois russelii,11,2
2016,12,SCRPT03,Pterois russelii,23,1
2016,12,SCRSP00,Scorpaenodes sp.,7,1
2016,12,SCRSP00,Scorpaenodes sp.,8,3
2016,12,SCRSP00,Scorpaenodes sp.,9,5
2016,12,SCRSP00,Scorpaenodes sp.,10,4
2016,12,SCRSP00,Scorpaenodes sp.,11,1
2016,12,SEREP62,Epinephelus coioides,12,1
2016,12,SEREP62,Epinephelus coioides,13,2
2016,12,SEREP62,Epinephelus coioides,14,1
2016,12,SHRAA00,S H R I M P S,1,2
2016,12,SHRAA00,S H R I M P S,1.5,1
2016,12,SHRAA00,S H R I M P S,1.8,2
2016,12,SHRAA00,S H R I M P S,1.9,1
2016,12,SHRAA00,S H R I M P S,2.1,2
2016,12,SHRAA00,S H R I M P S,2.5,1
2016,12,SHRAA00,S H R I M P S,3.2,1
2016,12,SHRPE00,PENAEIDAE,1.2,1
2016,12,SHRPE00,PENAEIDAE,1.4,2
2016,12,SHRPE00,PENAEIDAE,2,1
2016,12,SHRPE00,PENAEIDAE,2.1,1
2016,12,SHRPE00,PENAEIDAE,2.6,1
2016,12,SHRPE63,Penaeus monodon,3.2,1
2016,12,SHRPE63,Penaeus monodon,4,2
2016,12,SHRPE63,Penaeus monodon,4.4,1
2016,12,SHRPE63,Penaeus monodon,4.5,1
2016,12,SHRPE63,Penaeus monodon,4.6,2
2016,12,SHRPE63,Penaeus monodon,4.8,1
2016,12,SHRPE63,Penaeus monodon,4.9,1
2016,12,SHRPE63,Penaeus monodon,5,2
2016,12,SHRPE63,Penaeus monodon,5.1,3
2016,12,SHRPE63,Penaeus monodon,5.2,3
2016,12,SHRPE63,Penaeus monodon,5.3,1
2016,12,SHRPE63,Penaeus monodon,5.4,3
2016,12,SHRPE63,Penaeus monodon,5.5,4
2016,12,SHRPE63,Penaeus monodon,5.7,1
2016,12,SHRPE63,Penaeus monodon,6,4
2016,12,SHRPE63,Penaeus monodon,6.2,1
2016,12,SHRPE63,Penaeus monodon,6.3,2
2016,12,SHRPE63,Penaeus monodon,6.8,2
2016,12,SHRPE63,Penaeus monodon,7,5
2016,12,SHRPE63,Penaeus monodon,7.3,1
2016,12,SHRPE63,Penaeus monodon,7.5,1
2016,12,SHRPE64,Penaeus indicus,1.6,1
2016,12,SHRPE64,Penaeus indicus,1.8,2
2016,12,SHRPE64,Penaeus indicus,2,2
2016,12,SHRPE64,Penaeus indicus,2.2,2
2016,12,SHRPE64,Penaeus indicus,3.2,1
2016,12,SHRPE64,Penaeus indicus,4.4,1
2016,12,SHRPE64,Penaeus indicus,4.8,1
2016,12,SHRPE64,Penaeus indicus,5,3
2016,12,SHRPE64,Penaeus indicus,5.2,1
2016,12,SHRPE64,Penaeus indicus,5.3,2
2016,12,SHRPE64,Penaeus indicus,5.4,1
2016,12,SHRPE64,Penaeus indicus,6.2,1
2016,12,SHRPE70,Metapenaeus sp.,1.6,1
2016,12,SHRPE70,Metapenaeus sp.,1.9,4
2016,12,SHRPE70,Metapenaeus sp.,2,4
2016,12,SHRPE70,Metapenaeus sp.,2.1,2
2016,12,SHRPE70,Metapenaeus sp.,2.2,5
2016,12,SHRPE70,Metapenaeus sp.,2.3,2
2016,12,SHRPE70,Metapenaeus sp.,2.4,9
2016,12,SHRPE70,Metapenaeus sp.,2.5,2
2016,12,SHRPE70,Metapenaeus sp.,2.6,4
2016,12,SHRPE70,Metapenaeus sp.,2.8,2
2016,12,SHRPE70,Metapenaeus sp.,3.1,2
2016,12,SHRPE70,Metapenaeus sp.,3.2,8
2016,12,SHRPE71,Metapenaeus monoceros,0.9,2
2016,12,SHRPE71,Metapenaeus monoceros,1,2
2016,12,SHRPE71,Metapenaeus monoceros,1.1,1
2016,12,SHRPE71,Metapenaeus monoceros,1.2,2
2016,12,SHRPE71,Metapenaeus monoceros,1.3,1
2016,12,SHRPE71,Metapenaeus monoceros,1.4,4
2016,12,SHRPE71,Metapenaeus monoceros,1.5,5
2016,12,SHRPE71,Metapenaeus monoceros,1.6,2
2016,12,SHRPE71,Metapenaeus monoceros,1.8,5
2016,12,SHRPE71,Metapenaeus monoceros,1.9,2
2016,12,SHRPE71,Metapenaeus monoceros,2,30
2016,12,SHRPE71,Metapenaeus monoceros,2.1,2
2016,12,SHRPE71,Metapenaeus monoceros,2.2,27
2016,12,SHRPE71,Metapenaeus monoceros,2.3,4
2016,12,SHRPE71,Metapenaeus monoceros,2.4,16
2016,12,SHRPE71,Metapenaeus monoceros,2.5,84
2016,12,SHRPE71,Metapenaeus monoceros,2.6,14
2016,12,SHRPE71,Metapenaeus monoceros,2.7,32
2016,12,SHRPE71,Metapenaeus monoceros,2.8,32
2016,12,SHRPE71,Metapenaeus monoceros,2.9,2
2016,12,SHRPE71,Metapenaeus monoceros,3,34
2016,12,SHRPE71,Metapenaeus monoceros,3.1,9
2016,12,SHRPE71,Metapenaeus monoceros,3.2,10
2016,12,SHRPE71,Metapenaeus monoceros,3.3,24
2016,12,SHRPE71,Metapenaeus monoceros,3.4,10
2016,12,SHRPE71,Metapenaeus monoceros,3.5,16
2016,12,SHRPE71,Metapenaeus monoceros,3.6,15
2016,12,SHRPE71,Metapenaeus monoceros,3.7,10
2016,12,SHRPE71,Metapenaeus monoceros,3.8,11
2016,12,SHRPE71,Metapenaeus monoceros,3.9,10
2016,12,SHRPE71,Metapenaeus monoceros,4,4
2016,12,SHRPE71,Metapenaeus monoceros,4.1,5
2016,12,SHRPE71,Metapenaeus monoceros,4.2,1
2016,12,SHRPE71,Metapenaeus monoceros,4.4,2
2016,12,SHRPE71,Metapenaeus monoceros,4.6,5
2016,12,SHRPE88,Metapenaeus brevicornis,1.5,1
2016,12,SHRPE88,Metapenaeus brevicornis,2,2
2016,12,SHRPE88,Metapenaeus brevicornis,2.1,1
2016,12,SHRPE88,Metapenaeus brevicornis,2.4,4
2016,12,SHRPE88,Metapenaeus brevicornis,2.5,7
2016,12,SHRPE88,Metapenaeus brevicornis,3.1,2
2016,12,SHRPE88,Metapenaeus brevicornis,3.2,2
2016,12,SHRPE88,Metapenaeus brevicornis,3.3,1
2016,12,SHRPE88,Metapenaeus brevicornis,3.4,1
2016,12,SHRPE88,Metapenaeus brevicornis,3.8,2
2016,12,SHRSO10,Solenocera sp.,1.6,1
2016,12,SHRSO10,Solenocera sp.,2.5,1
2016,12,SHRSO10,Solenocera sp.,2.8,1
2016,12,SHRSO19,Solenocera hextii,1.5,3
2016,12,SHRSO19,Solenocera hextii,1.6,6
2016,12,SHRSO19,Solenocera hextii,2,5
2016,12,SHRSO19,Solenocera hextii,2.1,1
2016,12,SOLAA00,SOLEIDAE,5,1
2016,12,SOLAA00,SOLEIDAE,6,17
2016,12,SOLAA00,SOLEIDAE,7,16
2016,12,SOLAA00,SOLEIDAE,8,11
2016,12,SOLAA00,SOLEIDAE,9,10
2016,12,SOLAA00,SOLEIDAE,10,24
2016,12,SOLAA00,SOLEIDAE,11,23
2016,12,SOLAA00,SOLEIDAE,12,2
2016,12,SOLBR01,Brachirus orientalis,7,4
2016,12,SOLBR01,Brachirus orientalis,8,6
2016,12,SOLBR01,Brachirus orientalis,9,3
2016,12,SOLBR01,Brachirus orientalis,10,4
2016,12,SOLBR01,Brachirus orientalis,11,17
2016,12,SOLBR01,Brachirus orientalis,12,7
2016,12,SOLBR01,Brachirus orientalis,13,1
2016,12,SPHSP04,Sphyraena forsteri,19,2
2016,12,SPHSP04,Sphyraena forsteri,20,4
2016,12,SPHSP04,Sphyraena forsteri,21,8
2016,12,SPHSP04,Sphyraena forsteri,22,4
2016,12,SPHSP04,Sphyraena forsteri,23,6
2016,12,SPHSP04,Sphyraena forsteri,25,1
2016,12,SPHSP05,Sphyraena barracuda,19,1
2016,12,SPHSP05,Sphyraena barracuda,21,2
2016,12,SPHSP05,Sphyraena barracuda,22,2
2016,12,SPHSP05,Sphyraena barracuda,23,1
2016,12,SQULO71,Uroteuthis duvauceli,2,2
2016,12,SQULO71,Uroteuthis duvauceli,3,52
2016,12,SQULO71,Uroteuthis duvauceli,4,57
2016,12,SQULO71,Uroteuthis duvauceli,5,76
2016,12,SQULO71,Uroteuthis duvauceli,6,59
2016,12,SQULO71,Uroteuthis duvauceli,7,45
2016,12,SQULO71,Uroteuthis duvauceli,8,39
2016,12,SQULO71,Uroteuthis duvauceli,9,39
2016,12,SQULO71,Uroteuthis duvauceli,10,21
2016,12,SQULO71,Uroteuthis duvauceli,11,22
2016,12,SQULO71,Uroteuthis duvauceli,12,9
2016,12,SQULO71,Uroteuthis duvauceli,13,3
2016,12,SQULO71,Uroteuthis duvauceli,15,1
2016,12,SQUOC10,Octopus sp.,2,1
2016,12,SQUOC10,Octopus sp.,3,3
2016,12,SQUOC10,Octopus sp.,4,15
2016,12,SQUOC10,Octopus sp.,5,2
2016,12,SQUOC11,Octopus vulgaris,3,1
2016,12,SQUOC11,Octopus vulgaris,4,1
2016,12,SQUSE10,Sepia sp.,2.8,4
2016,12,SQUSE10,Sepia sp.,3,11
2016,12,SQUSE10,Sepia sp.,3.1,5
2016,12,SQUSE10,Sepia sp.,3.5,1
2016,12,SQUSE10,Sepia sp.,4,84
2016,12,SQUSE10,Sepia sp.,4.5,4
2016,12,SQUSE10,Sepia sp.,5,58
2016,12,SQUSE10,Sepia sp.,5.2,3
2016,12,SQUSE10,Sepia sp.,6,41
2016,12,SQUSE10,Sepia sp.,7,68
2016,12,SQUSE10,Sepia sp.,8,26
2016,12,SQUSE10,Sepia sp.,9,145
2016,12,SQUSE10,Sepia sp.,10,35
2016,12,SQUSE10,Sepia sp.,11,16
2016,12,SQUSE10,Sepia sp.,12,21
2016,12,SQUSE10,Sepia sp.,13,3
2016,12,SQUSE10,Sepia sp.,15,1
2016,12,SQUSE10,Sepia sp.,16,2
2016,12,SQUSE10,Sepia sp.,23,2
2016,12,STRPA01,Pampus argenteus,6,1
2016,12,STRPA01,Pampus argenteus,7,3
2016,12,STRPA01,Pampus argenteus,16,2
2016,12,STRPA01,Pampus argenteus,17,5
2016,12,STRPA01,Pampus argenteus,18,2
2016,12,STRPA01,Pampus argenteus,19,1
2016,12,STRPA01,Pampus argenteus,20,1
2016,12,SYNSA00,Saurida sp.,10,1
2016,12,SYNSA02,Saurida tumbil,5,5
2016,12,SYNSA02,Saurida tumbil,6,5
2016,12,SYNSA02,Saurida tumbil,7,31
2016,12,SYNSA02,Saurida tumbil,8,15
2016,12,SYNSA02,Saurida tumbil,9,15
2016,12,SYNSA02,Saurida tumbil,10,33
2016,12,SYNSA02,Saurida tumbil,11,22
