year,month,species,length_cm,weight_gm
2016,12,CRAPO38,5.3,110
2016,12,CRAPO38,6.6,210
2016,12,CRAPO3B,16,250
2016,12,CRUSQ10,7,5
2016,12,CRUSQ10,1,2
2016,12,CRUSQ10,9,7
2016,12,CRUSQ10,10,2
2016,12,CRUSQ10,1,2
2016,12,CRUSQ10,5,5
2016,12,CYGCY00,17,20
2016,12,CYGCY00,26,70
2016,12,CYGCY00,27,80
2016,12,CYGCY00,17,20
2016,12,CYGCY00,26,70
2016,12,CYGCY00,27,80
2016,12,CYGCY11,29,130
2016,12,CYGCY11,17,30
2016,12,CYGCY26,29,120
2016,12,CYGCY26,18,28
2016,12,CYGCY26,8,5
2016,12,CYGCY26,29,130
2016,12,CYGCY26,27,110
2016,12,CYGCY26,25,70
2016,12,CYGCY26,26,80
2016,12,CYGCY26,13,10
2016,12,CYGCY26,11,12
2016,12,CYGCY26,13,11
2016,12,CYGCY26,14,11
2016,12,CYGCY26,15,20
2016,12,CYGCY26,16,20
2016,12,CYGCY26,16,14
2016,12,CYGCY26,17,21
2016,12,CYGCY26,20,40
2016,12,CYGCY26,24,60
2016,12,CYGCY26,25,65
2016,12,CYGCY26,26,110
2016,12,CYGCY26,26,140
2016,12,CYGCY26,27,100
2016,12,CYGCY26,28,150
2016,12,CYGCY26,28,180
2016,12,CYGCY26,28,105
2016,12,CYGCY26,29,112
2016,12,CYGCY26,34,180
2016,12,CYGCY26,25,70
2016,12,CYGCY26,17,10
2016,12,CYGCY26,18,40
2016,12,CYGCY26,19,40
2016,12,CYGCY26,20,50
2016,12,CYGCY26,21,30
2016,12,CYGCY26,22,45
2016,12,CYGCY26,23,50
2016,12,CYGCY26,24,60
2016,12,CYGCY26,26,100
2016,12,CYGCY26,33,160
2016,12,CYGCY26,8,5
2016,12,CYGCY26,12,12
2016,12,CYGCY26,14,10
2016,12,CYGCY26,15,15
2016,12,CYGCY26,16,10
2016,12,CYGCY26,17,30
2016,12,CYGCY26,18,25
2016,12,CYGCY26,19,30
2016,12,CYGCY26,21,45
2016,12,CYGCY26,25,85
2016,12,CYGCY26,28,150
2016,12,CYGCY26,10,10
2016,12,CYGCY26,11,10
2016,12,CYGCY26,13,15
2016,12,CYGCY26,14,10
2016,12,CYGCY26,14,20
2016,12,CYGCY26,15,15
2016,12,CYGCY26,17,25
2016,12,CYGCY26,18,30
2016,12,CYGCY26,18,30
2016,12,CYGCY26,23,55
2016,12,CYGCY26,25,65
2016,12,CYGCY26,25,60
2016,12,CYGCY26,26,100
2016,12,CYGCY26,27,125
2016,12,CYGCY26,28,110
2016,12,CYGCY26,28,100
2016,12,CYGCY26,10,10
2016,12,CYGCY26,8,8
2016,12,CYGCY26,8,5
2016,12,CYGCY26,17,20
2016,12,CYGCY26,12,10
2016,12,CYGCY26,19,40
2016,12,CYGCY26,20,40
2016,12,CYGCY26,21,50
2016,12,CYGCY26,21,50
2016,12,CYGCY26,22,35
2016,12,CYGCY26,23,45
2016,12,CYGCY26,26,40
2016,12,CYGCY26,27,75
2016,12,CYGCY26,17,35
2016,12,CYGCY26,23,65
2016,12,CYGCY26,24,60
2016,12,CYGCY26,25,80
2016,12,CYGCY26,28,100
2016,12,CYGCY26,30,150
2016,12,CYGCY26,17,40
2016,12,CYGCY26,14,10
2016,12,CYGCY26,18,25
2016,12,CYGCY26,17,35
2016,12,CYGCY26,16,30
2016,12,CYGCY26,15,15
2016,12,CYGCY26,15,15
2016,12,CYGCY26,16,20
2016,12,CYGCY26,17,25
2016,12,CYGCY26,18,25
2016,12,CYGCY26,18,25
2016,12,CYGCY26,19,30
2016,12,CYGCY26,19,30
2016,12,CYGCY26,20,40
2016,12,CYGCY26,20,32
2016,12,CYGCY26,17,20
2016,12,CYGCY26,18,20
2016,12,CYGCY26,20,30
2016,12,CYGCY26,13,10
2016,12,CYGCY26,14,15
2016,12,CYGCY26,15,15
2016,12,CYGCY26,16,20
2016,12,CYGCY26,17,25
2016,12,CYGCY26,18,25
2016,12,CYGCY26,19,35
2016,12,CYGCY26,23,65
2016,12,CYGCY26,12,5
2016,12,CYGCY26,14,8
2016,12,CYGCY26,15,17
2016,12,CYGCY26,16,22
2016,12,DIOCY00,13,102
2016,12,DREDR02,3,3
2016,12,DREDR03,14,85
2016,12,DREDR03,15,110
2016,12,DREDR03,11,60
2016,12,DREDR03,13,75
2016,12,DREDR03,13,55
2016,12,DREDR03,14,75
2016,12,DREDR03,14,90
2016,12,DREDR03,15,110
2016,12,DREDR03,15,125
2016,12,DREDR03,16,115
2016,12,DREDR03,17,155
2016,12,DREDR03,12,50
2016,12,DREDR03,13,65
2016,12,DREDR03,13,60
2016,12,DREDR03,13,60
2016,12,DREDR03,13,60
2016,12,DREDR03,13,60
2016,12,DREDR03,17,120
2016,12,DREDR03,11,48
2016,12,DREDR03,12,50
2016,12,DREDR03,13,60
2016,12,DREDR03,14,80
2016,12,DREDR03,15,110
2016,12,DREDR03,14,90
2016,12,DREDR03,13,55
2016,12,DREDR03,15,90
2016,12,DREDR03,14,60
2016,12,FISFI00,21,2
2016,12,FISFI00,24,3
2016,12,FISFI00,27,3
2016,12,FISFI00,18,1.5
2016,12,FISFI02,32,25
2016,12,FISFI02,34,35
2016,12,FISFI02,14,2
2016,12,FISFI02,38,35
2016,12,FISFI02,41,35
2016,12,FISFI02,41,45
2016,12,FISFI02,32,25
2016,12,FISFI02,42,40
2016,12,FISFI02,30,25
2016,12,FISFI02,33,20
2016,12,FISFI02,37,25
2016,12,FISFI02,41,50
2016,12,FISFI02,35,25
2016,12,FISFI02,7,2
2016,12,GERAA00,16,80
2016,12,GERGE09,13,50
2016,12,GERPE00,8,13
2016,12,GERPE00,8,10
2016,12,GERPE00,10,20
2016,12,GERPE00,10,19
2016,12,GERPE00,11,30
2016,12,GERPE00,9,15
2016,12,GERPE00,9,15
2016,12,GERPE00,10,20
2016,12,GERPE00,10,20
2016,12,GERPE01,10,12
2016,12,GERPE01,8,10
2016,12,GERPE01,10,20
2016,12,GERPE01,11,25
2016,12,GERPE01,8,10
2016,12,GERPE01,8,12
2016,12,GERPE01,9,20
2016,12,GERPE01,10,30
2016,12,GERPE01,11,30
2016,12,GERPE01,11,25
2016,12,GERPE01,10,12
2016,12,LACLA01,13,40
2016,12,LEIAA00,8,9
2016,12,LEIAA00,10,20
2016,12,LEIAA00,9,11
2016,12,LEIAA00,8,9
2016,12,LEIAA00,9,11
2016,12,LEIAA00,10,20
2016,12,LEIGA01,8,20
2016,12,LEIGA01,9,21
2016,12,LEIGA01,8,13
2016,12,LEIGA01,9,25
2016,12,LEIGA01,10,30
2016,12,LEIGA01,10,27
2016,12,LEIGA01,13,50
2016,12,LEIGA01,6,7.5
2016,12,LEIGA01,7,10
2016,12,LEIGA01,7,11
2016,12,LEIGA01,8,14
2016,12,LEIGA01,8,15
2016,12,LEIGA01,10,20
2016,12,LEILE00,8,14
2016,12,LEILE00,9,20
2016,12,LEILE09,3,1
2016,12,LEILE09,4,2
2016,12,LEILE09,5,3
2016,12,LEILE09,6,4
2016,12,LEILE09,7,8
2016,12,LEILE09,8,10
2016,12,LEILE09,9,20
2016,12,LEILE09,8,15
2016,12,LEILE09,8,15
2016,12,LEILE09,8,15
2016,12,LEILE09,4,3
2016,12,LEILE09,4,3
2016,12,LEILE09,5,5
2016,12,LEILE09,5,3
2016,12,LEILE09,6,10
2016,12,LEILE09,7,10
2016,12,LEILE09,7,12
2016,12,LEILE09,8,10
2016,12,LEILE09,6,7
2016,12,LEILE09,8,15
2016,12,LEILE09,8,15
2016,12,LEILE09,8,12
2016,12,LEILE09,9,20
2016,12,LEILE09,4,5
2016,12,LEILE09,9,20
2016,12,LEILE09,5,6
2016,12,LEILE09,5,2
2016,12,LEILE09,6,7
2016,12,LEILE09,6,8
2016,12,LEILE09,7,12
2016,12,LEILE09,7,12
2016,12,LEILE09,8,17
2016,12,LEILE09,8,15
2016,12,LEILE09,9,25
2016,12,LEILE09,10,22
2016,12,LEILE09,9,20
2016,12,LEILE09,4,6
2016,12,LEILE09,4,4
2016,12,LEILE09,5,5
2016,12,LEILE09,6,6
2016,12,LEILE09,6,9
2016,12,LEILE09,7,10
2016,12,LEILE09,9,20
2016,12,LEILE09,7,7
2016,12,LEILE09,8,8
2016,12,LEILE09,9,20
2016,12,LEILE09,8,12
2016,12,LEILE09,9,20
2016,12,LEILE09,9,12
2016,12,LEILE09,10,20
2016,12,LEILE09,10,24
2016,12,LEILE09,5,5
2016,12,LEILE09,6,10
2016,12,LEILE09,6,8
2016,12,LEILE09,7,10
2016,12,LEILE09,5,3
2016,12,LEILE09,7,10
2016,12,LEILE09,8,10
2016,12,LEILE09,8,10
2016,12,LEILE09,4,2
2016,12,LEILE09,5,5
2016,12,LEILE09,5,5
2016,12,LEILE09,5,3.5
2016,12,LEILE09,4,1.5
2016,12,LEILE09,5,2.5
2016,12,LEILE09,6,7
2016,12,LEILE09,7,8
2016,12,LEILE09,7,7
2016,12,LEILE09,8,10
2016,12,LEILE09,8,10
2016,12,LEILE09,5,5
2016,12,LEILE09,5,5
2016,12,LEILE09,5,5
2016,12,LEILE09,5,5
2016,12,LEILE09,5,5
2016,12,LEILE09,4,2
2016,12,LEILE09,5,5
2016,12,LEILE09,5,4
2016,12,LEILE09,5,2
2016,12,LEILE09,6,5
2016,12,LEILE09,6,5
2016,12,LEILE09,7,8
2016,12,LEILE09,7,7
2016,12,LEILE09,8,10
2016,12,LEILE09,8,10
2016,12,LEILE09,4,3
2016,12,LEILE09,5,3
2016,12,LEILE09,5,5
2016,12,LEILE09,4,4
2016,12,LEILE09,6,5
2016,12,LEILE09,6,5
2016,12,LEILE09,7,5
2016,12,LEILE09,7,10
2016,12,LEILE09,5,6
2016,12,LEILE09,8,15
2016,12,LEILE09,5,6
2016,12,LEILE09,6,10
2016,12,LEILE09,6,8
2016,12,LEILE09,6,10
2016,12,LEILE09,3,2.5
2016,12,LEILE09,7,10
2016,12,LEILE09,7,9
2016,12,LEILE09,4,4
2016,12,LEILE09,5,5
2016,12,LEILE09,6,10
2016,12,LEILE09,7,10
2016,12,LEILE09,8,20
2016,12,LEILE09,10,30
2016,12,LEILE09,8,10
2016,12,LEILE09,8,12
2016,12,LEILE09,10,25
2016,12,LEILE09,6,10
2016,12,LEILE09,4,2
2016,12,LEILE09,5,4
2016,12,LEILE09,6,8
2016,12,LEILE09,7,8
2016,12,LEILE09,8,12
2016,12,LEILE09,9,12
2016,12,LEILE09,10,24
2016,12,LEILE09,6,10
2016,12,LEILE09,6,8
2016,12,LEILE09,7,10
2016,12,LEILE09,6,5
2016,12,LEILE09,7,8
2016,12,LEILE09,8,10
2016,12,LEILE09,9,10
2016,12,LEILE09,7,10
2016,12,LEILE09,11,15
2016,12,LEILE09,7,8
2016,12,LEILE09,10,10
2016,12,LEILE09,5,10
2016,12,LEILE09,5,4.5
2016,12,LEILE09,7,10
2016,12,LEILE09,7,18
2016,12,LEILE09,8,10
2016,12,LEILE09,8,10
2016,12,LEILE09,8,10
2016,12,LEILE09,8,10
2016,12,LEILE09,8,10
2016,12,LEILE09,8,11
2016,12,LEILE09,8,10
2016,12,LEILE09,8,10
2016,12,LEILE09,8,10
2016,12,LEILE09,8,10
2016,12,LEILE09,8,10
2016,12,LEILE09,9,10
2016,12,LEILE09,8,10
2016,12,LEILE09,9,10
2016,12,LEILE09,9,10
2016,12,LEILE09,9,10
2016,12,LEILE09,9,10
2016,12,LEILE09,9,10
2016,12,LEILE09,2,1.5
2016,12,LEILE09,3,2
2016,12,LEILE09,4,3
2016,12,LEILE09,5,3
2016,12,LEILE09,9,11
2016,12,LEILE09,6,5
2016,12,LEILE09,7,7.3
2016,12,LEILE09,9,11
2016,12,LEILE09,8,10
2016,12,LEILE09,9,16.6
2016,12,LEILE09,9,10
2016,12,LEILE09,9,12
2016,12,LEILE09,9,10
2016,12,LEILE09,9,20
2016,12,LEILE09,9,20
2016,12,LEILE09,9,10
2016,12,LEILE09,9,10
2016,12,LEILE09,10,12
2016,12,LEILE09,10,20
2016,12,LEILE09,10,11
2016,12,LEILE09,10,15
2016,12,LEILE09,9,20
2016,12,LEILE09,11,20
2016,12,LEILE09,7,10
2016,12,LEILE09,7,10
2016,12,LEILE09,7,10
2016,12,LEILE09,7,10
2016,12,LEILE09,7,10
2016,12,LEILE09,7,10
2016,12,LEISE00,5,3
2016,12,LEISE00,6,3
2016,12,LEISE00,8,10
2016,12,MENME01,6,5
2016,12,MONAL02,48,1100
2016,12,MONAL02,49,1200
2016,12,MULUP05,10,20
2016,12,MULUP05,11,30
2016,12,MULUP05,12,35
2016,12,MULUP05,10,25
2016,12,MULUP05,10,20
2016,12,MULUP05,11,30
2016,12,MULUP05,11,30
2016,12,MULUP05,12,35
2016,12,MULUP05,10,25
2016,12,MULUP05,10,24
2016,12,MULUP05,11,29
2016,12,MULUP05,11,35
2016,12,MULUP05,12,45
2016,12,MULUP05,12,40
2016,12,MULUP05,13,50
2016,12,MULUP05,13,50
2016,12,MULUP05,14,65
2016,12,MULUP05,14,75
2016,12,MULUP05,9,10
2016,12,MULUP05,10,15
2016,12,MULUP05,10,13
2016,12,MULUP05,11,15
2016,12,MULUP05,9,18
2016,12,MULUP05,10,20
2016,12,MULUP05,10,25
2016,12,MULUP05,11,20
2016,12,MULUP05,14,65
2016,12,MULUP05,9,20
2016,12,MULUP05,10,35
2016,12,MULUP05,11,30
2016,12,MULUP05,11,40
2016,12,MULUP05,12,40
2016,12,MULUP05,12,45
2016,12,MULUP05,13,40
2016,12,MULUP05,13,60
2016,12,MULUP05,14,60
2016,12,MULUP05,14,60
2016,12,MULUP05,8,10
2016,12,MULUP05,10,17
2016,12,MULUP05,11,25
2016,12,MULUP05,11,20
2016,12,MULUP05,9,30
2016,12,MULUP05,10,35
2016,12,MULUP05,10,20
2016,12,MULUP05,11,40
2016,12,MULUP05,11,20
2016,12,MULUP05,14,30
2016,12,MULUP05,10,20
2016,12,MULUP05,11,25
2016,12,MULUP05,10,20
2016,12,MULUP05,10,20
2016,12,MULUP05,11,25
2016,12,MULUP05,10,20
2016,12,MULUP05,11,30
2016,12,MULUP05,15,80
2016,12,MULUP05,10,20
2016,12,MULUP05,11,30
2016,12,MULUP05,12,35
2016,12,MURGY00,33,10
2016,12,NEMNE03,8,10
2016,12,NEMNE03,20,150
2016,12,NEMNE03,21,180
2016,12,NEMNE03,19,155
2016,12,NEMNE03,20,170
2016,12,NEMNE03,23,240
2016,12,NEMNE03,22,185
2016,12,NEMNE03,22,140
2016,12,NEMNE03,22,150
2016,12,NEMNE03,15,60
2016,12,NEMNE03,7,8
2016,12,NEMNE03,15,75
2016,12,NEMNE03,15,70
2016,12,NEMNE03,8,10
2016,12,NEMNE03,20,100
2016,12,NEMNE03,20,155
2016,12,NEMNE03,13,45
2016,12,NEMNE03,13,30
2016,12,NEMNE03,14,50
2016,12,NEMNE03,21,170
2016,12,NEMNE03,23,230
2016,12,NEMNE03,14,50
2016,12,NEMNE03,15,55
2016,12,NEMNE03,17,150
2016,12,NEMNE03,18,90
2016,12,NEMNE03,19,150
2016,12,NEMNE03,19,100
2016,12,NEMNE03,20,150
2016,12,NEMNE03,21,160
2016,12,NEMNE03,21,160
2016,12,NEMNE03,22,220
2016,12,NEMNE03,23,225
2016,12,NEMNE03,9,13
2016,12,NEMNE03,11,25
2016,12,NEMNE03,14,50
2016,12,NEMNE03,16,100
2016,12,NEMNE03,16,60
2016,12,NEMNE03,18,110
2016,12,NEMNE03,19,150
2016,12,NEMNE03,20,150
2016,12,NEMNE03,22,205
2016,12,NEMNE03,22,200
2016,12,NEMNE03,9,10
2016,12,NEMNE03,10,15
2016,12,NEMNE03,13,40
2016,12,NEMNE03,14,50
2016,12,NEMNE03,14,40
2016,12,NEMNE03,14,50
2016,12,NEMNE03,15,60
2016,12,NEMNE03,16,65
2016,12,NEMNE03,17,90
2016,12,NEMNE03,18,90
2016,12,NEMNE03,19,110
2016,12,NEMNE03,20,150
2016,12,NEMNE03,20,110
2016,12,NEMNE03,21,104
2016,12,NEMNE03,23,140
2016,12,NEMNE03,20,160
2016,12,NEMNE03,23,140
2016,12,NEMNE03,16,70
2016,12,NEMNE03,10,15
2016,12,NEMNE03,16,75
2016,12,NEMNE03,15,65
2016,12,NEMNE03,21,150
2016,12,PLAPL01,14,20
2016,12,PLAPL01,12,25
2016,12,PLAPL01,12,25
2016,12,PLAPL01,12,16
2016,12,PLAPL01,14,26
2016,12,PLAPL01,17,55
2016,12,PLAPL01,17,50
2016,12,PLAPL01,18,50
2016,12,PLAPL01,18,30
2016,12,PLAPL01,18,50
2016,12,PLAPL01,18,40
2016,12,PLAPL01,14,15
2016,12,PLAPL01,13,15
2016,12,PLAPL01,14,20
2016,12,PLAPL01,14,20
2016,12,PLAPL01,17,35
2016,12,PLAPL01,18,35
2016,12,PLAPL01,14,30
2016,12,PLAPL01,17,50
2016,12,PLAPL01,17,40
2016,12,PLAPL01,19,50
2016,12,PLAPL01,13,20
2016,12,PLAPL01,14,25
2016,12,PLAPL01,15,35
2016,12,PLAPL01,18,50
2016,12,PLAPL01,20,70
2016,12,PLAPL01,15,25
2016,12,PLAPL01,17,35
2016,12,PLAPL01,17,50
2016,12,PLAPL01,13,20
2016,12,PLAPL01,17,20
2016,12,PLAPL01,20,50
2016,12,PLAPL01,20,40
2016,12,PLAPL01,11,8
2016,12,PLAPL01,12,10
2016,12,PLAPL01,15,20
2016,12,PLAPL01,15,10
2016,12,PLAPL01,16,25
2016,12,PLAPL01,17,30
2016,12,PLAPL01,17,50
2016,12,PLAPL01,11,10
2016,12,PLAPL01,14,20
2016,12,PLAPL01,10,10
2016,12,PLAPL01,11,15
2016,12,PLAPL01,12,15
2016,12,PLAPL01,13,20
2016,12,PLAPL01,14,20
2016,12,PLAPL01,15,25
2016,12,PLAPL01,16,35
2016,12,PLAPL01,17,35
2016,12,PLAPL01,18,45
2016,12,PLAPL01,21,55
2016,12,PLAPL01,11,10
2016,12,PLAPL01,12,10
2016,12,PLAPL01,13,15
2016,12,PLAPL01,14,20
2016,12,PLAPL01,16,30
2016,12,PLAPL01,17,40
2016,12,PLAPL01,12,11
2016,12,PLAPL01,13,11
2016,12,PLAPL01,13,20
2016,12,PLAPL01,13,11
2016,12,PLAPL01,13,10
2016,12,PLAPL01,16,30
2016,12,PLAPL01,17,35
2016,12,PLAPL01,17,42
2016,12,PLAPL01,18,30
2016,12,PLAPL01,20,40
2016,12,PLAPL01,20,45
2016,12,PLAPL01,20,50
2016,12,PLAPL01,20,50
2016,12,PLAPL01,13,15
2016,12,PLAPL01,12,14
2016,12,PLAPL01,14,17
2016,12,PLAPL01,15,20
2016,12,PLAPL01,11,10
2016,12,PLAPL01,16,25
2016,12,PODPO05,23,200
2016,12,PODPO05,23,200
2016,12,PODPO05,24,225
2016,12,PODPO05,25,240
2016,12,PODPO05,31,500
2016,12,PODPO06,13,48
2016,12,PODPO06,14,48
2016,12,PRIPR00,9,10
2016,12,PRIPR00,18,60
2016,12,PRIPR03,17,80
2016,12,PRIPR03,7,4
2016,12,PRIPR03,8,5
2016,12,PRIPR03,8,10
2016,12,PRIPR03,10,20
2016,12,PRIPR03,17,55
2016,12,PRIPR03,18,60
2016,12,PRSIL05,11,25
2016,12,PRSIL05,12,20
2016,12,PRSIL05,12,30
2016,12,PRSIL05,12,35
2016,12,PRSIL05,13,25
2016,12,PRSIL05,13,30
2016,12,PRSIL05,13,30
2016,12,PRSIL05,13,35
2016,12,PRSIL05,14,40
2016,12,PRSIL05,15,45
2016,12,PRSIL05,16,45
2016,12,PRSIL05,11,25
2016,12,PRSIL05,12,35
2016,12,PRSIL05,12,30
2016,12,PRSIL05,13,35
2016,12,PRSIL05,13,30
2016,12,PRSIL05,13,30
2016,12,PRSIL05,14,40
2016,12,PRSIL05,15,45
2016,12,PRSIL05,16,45
2016,12,PSEPS02,7,5
2016,12,PSEPS02,9,10
2016,12,PSEPS02,10,10
2016,12,PSEPS02,11,10
2016,12,PSEPS02,11,20
2016,12,PSEPS02,12,70
2016,12,PSEPS02,12,20
2016,12,PSEPS02,14,30
2016,12,PSEPS02,14,30
2016,12,PSEPS02,16,50
2016,12,PSEPS02,17,60
2016,12,PSEPS02,18,60
2016,12,PSEPS02,18,70
2016,12,PSEPS02,10,20
2016,12,PSEPS02,11,7
2016,12,PSEPS02,11,10
2016,12,PSEPS02,18,60
2016,12,PSEPS02,10,7.5
2016,12,PSEPS02,11,20
2016,12,PSEPS02,11,20
2016,12,PSEPS02,12,15
2016,12,PSEPS02,12,20
2016,12,PSEPS02,13,15
2016,12,PSEPS02,10,20
2016,12,PSEPS02,10,10
2016,12,PSEPS02,11,12.2
2016,12,PSEPS02,12,20
2016,12,PSEPS02,12,20
2016,12,PSEPS02,14,35
2016,12,PSEPS02,11,15
2016,12,PSEPS02,17,50
2016,12,PSEPS02,18,80
2016,12,PSEPS02,11,10
2016,12,PSEPS02,18,60
2016,12,PSEPS02,11,15
2016,12,PSEPS02,12,15
2016,12,PSEPS02,10,10
2016,12,PSEPS02,11,15
2016,12,PSEPS02,7,5
2016,12,PSEPS02,8,5
2016,12,PSEPS02,9,5
2016,12,PSEPS02,11,15
2016,12,PSEPS02,11,10
2016,12,PSEPS02,12,15
2016,12,PSEPS02,13,20
2016,12,PSEPS02,14,30
2016,12,PSEPS02,16,55
2016,12,PSEPS02,18,50
2016,12,PSEPS02,12,15
2016,12,PSEPS02,12,15
2016,12,PSEPS02,14,20
2016,12,PSEPS02,17,55
2016,12,PSEPS02,10,10
2016,12,PSEPS02,11,15
2016,12,PSEPS02,12,20
2016,12,PSEPS02,18,65
2016,12,PSEPS02,13,25
2016,12,PSEPS02,19,70
2016,12,PSEPS02,11,10
2016,12,PSEPS02,11,20
2016,12,PSEPS02,12,18
